Country,2020/03/30 12:00:00,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50
USA,134961.0,311310.0,326677.0,337394.0,352996.0,365981.0,365981.0,365981.0,365981.0,397562.0,426270.0,432460.0,457102.0,482033.0,567086.0,585725.0,609587.0,631623.0,652688.0,678031.0,690859.0,717361.0,750544.0,763109.0,788469.0,813126.0,814542.0,834261.0,855492.0,875696.0,904153.0,919667.0,941626.0,954962.0,965087.0,975325.0
Italy,73880.0,91246.0,93187.0,93187.0,94067.0,94067.0,94067.0,94067.0,94067.0,95262.0,96877.0,96877.0,98273.0,100269.0,105418.0,106607.0,106962.0,107771.0,108257.0,108237.0,107709.0,107699.0,106848.0,106527.0,105847.0,106103.0,105813.0,105205.0,104657.0,101551.0,100943.0,100704.0,100179.0,99980.0,98467.0,91528.0
Spain,58598.0,81540.0,81426.0,83504.0,83406.0,84689.0,84689.0,84114.0,84114.0,85043.0,85511.0,85415.0,86390.0,86656.0,88889.0,90836.0,96040.0,97948.0,98771.0,100382.0,100757.0,101617.0,101617.0,104885.0,105149.0,85712.0,85069.0,84403.0,79695.0,77112.0,75714.0,74234.0,73300.0,71240.0,70230.0,68466.0
Germany,52683.0,70462.0,71196.0,65814.0,69394.0,69566.0,69566.0,69566.0,69566.0,64647.0,63221.0,64484.0,65522.0,65181.0,53949.0,52242.0,51645.0,51186.0,49601.0,47003.0,43967.0,42114.0,40840.0,39487.0,40836.0,37294.0,38132.0,33220.0,31572.0,29486.0,28341.0,27555.0,26098.0,24059.0,22614.0,20987.0
France,30366.0,68578.0,71849.0,71849.0,79404.0,79404.0,79404.0,79404.0,79404.0,80827.0,82333.0,82333.0,86740.0,89431.0,99741.0,114295.0,94868.0,96487.0,96598.0,97709.0,98073.0,97880.0,94239.0,94090.0,94280.0,94341.0,97036.0,95365.0,94105.0,93326.0,92540.0,93074.0,93014.0,92890.0,92284.0,94410.0
Iran,23278.0,32525.0,32525.0,31678.0,31678.0,31678.0,31678.0,36244.0,36244.0,29801.0,29801.0,28495.0,28495.0,23725.0,21679.0,20897.0,20472.0,19850.0,20070.0,19023.0,18540.0,17492.0,16702.0,16021.0,15485.0,15114.0,14733.0,14268.0,13909.0,13509.0,13237.0,12942.0,12799.0,13155.0,13155.0,13645.0
UK,18159.0,42737.0,46100.0,46100.0,48948.0,48948.0,48948.0,48948.0,48948.0,53501.0,56964.0,56011.0,64456.0,68772.0,85264.0,89020.0,93772.0,98409.0,103663.0,107890.0,111363.0,115051.0,118996.0,123614.0,127714.0,131764.0,135713.0,139123.0,138780.0,144138.0,149600.0,153785.0,157809.0,161506.0,165219.0,170681.0
Switzerland,12934.0,13620.0,12834.0,13399.0,12728.0,12800.0,12800.0,12938.0,12938.0,12786.0,12614.0,12947.0,12554.0,12164.0,9705.0,9544.0,9342.0,8936.0,8547.0,7908.0,7185.0,7087.0,6526.0,6084.0,5995.0,5651.0,5287.0,4965.0,5091.0,4449.0,4163.0,3855.0,3643.0,3025.0,2814.0,2555.0
Netherlands,9845.0,16686.0,16686.0,17229.0,17229.0,17229.0,17229.0,17229.0,17229.0,19116.0,19116.0,20336.0,20336.0,21520.0,24769.0,25649.0,26740.0,27738.0,28721.0,29404.0,29968.0,30538.0,31302.0,31996.0,32531.0,33120.0,33477.0,33600.0,33841.0,34271.0,34648.0,34999.0,35265.0,35438.0,35669.0,35865.0
Belgium,9046.0,15196.0,15196.0,16002.0,16002.0,16002.0,16482.0,16482.0,16482.0,17296.0,18080.0,18080.0,18686.0,19584.0,22390.0,23014.0,23382.0,24056.0,25260.0,25956.0,26194.0,26507.0,27492.0,27991.0,28255.0,28602.0,29060.0,29075.0,29349.0,29437.0,29541.0,29753.0,29965.0,30052.0,29711.0,30025.0
