Country,2020/04/06 17:24:01,2020/04/06 20:46:16,2020/04/07 15:34:17,2020/04/07 20:50:58,2020/04/08 08:52:04,2020/04/08 09:16:27,2020/04/08 10:08:06,2020/04/08 10:12:31,2020/04/09 13:57:23,2020/04/10 10:13:21,2020/04/10 16:03:43,2020/04/11 10:14:07,2020/04/12 10:14:59,2020/04/16 12:26:48,2020/04/17 10:18:45,2020/04/18 10:19:16,2020/04/19 10:20:04,2020/04/20 10:20:53,2020/04/21 10:21:13,2020/04/22 10:21:19,2020/04/23 10:21:37,2020/04/24 10:21:55,2020/04/25 10:22:32,2020/04/26 10:22:43,2020/04/27 10:23:05,2020/04/28 10:23:16,2020/04/29 10:23:43,2020/04/30 10:24:24,2020/05/01 10:24:46,2020/05/02 10:24:51,2020/05/03 10:24:55,2020/05/04 10:25:42,2020/05/05 10:25:33,2020/05/06 10:26:04,2020/05/07 10:26:50,2020/05/08 10:27:44,2020/05/09 10:28:06,2020/05/10 10:28:51
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,1793655.0,1850506.0,1938109.0,2011915.0,2082443.0,2082443.0,2082443.0,2082443.0,2228202.0,2376977.0,2432760.0,2538888.0,2693758.0,3258879.0,3411394.0,3579797.0,3722209.0,3861596.0,4027367.0,4190002.0,4326648.0,4775625.0,5037473.0,5279237.0,5470555.0,5696928.0,5919847.0,6139911.0,6391887.0,6699878.0,6931132.0,7196740.0,7462597.0,7727938.0,8005589.0,8314419.0,8638846.0,8918345.0
Spain,355000.0,355000.0,355000.0,355000.0,355000.0,355000.0,355000.0,355000.0,355000.0,355000.0,355000.0,355000.0,355000.0,650755.0,930230.0,930230.0,930230.0,930230.0,930230.0,930230.0,930230.0,930230.0,930230.0,930230.0,1199548.0,1345560.0,1345560.0,1414477.0,1455306.0,1528833.0,1528833.0,1932455.0,1932455.0,1932455.0,1932455.0,1932455.0,1932455.0,2467761.0
Italy,691461.0,721732.0,721732.0,755445.0,755445.0,755445.0,755445.0,755445.0,807125.0,853369.0,853369.0,906864.0,963473.0,1117404.0,1178403.0,1244108.0,1305833.0,1356541.0,1398024.0,1450150.0,1513251.0,1579909.0,1642356.0,1707743.0,1757659.0,1789662.0,1846934.0,1910761.0,1979217.0,2053425.0,2108837.0,2153772.0,2191403.0,2246666.0,2310929.0,2381288.0,2445063.0,2514234.0
Germany,918460.0,918460.0,918460.0,918460.0,918460.0,918460.0,918460.0,918460.0,1317887.0,1317887.0,1317887.0,1317887.0,1317887.0,1728357.0,1728357.0,1728357.0,1728357.0,1728357.0,1728357.0,1728357.0,2072669.0,2072669.0,2072669.0,2072669.0,2072669.0,2072669.0,2072669.0,2547052.0,2547052.0,2547052.0,2547052.0,2547052.0,2547052.0,2547052.0,2755770.0,2755770.0,2755770.0,2755770.0
France,224254.0,224254.0,224254.0,224254.0,224254.0,224254.0,224254.0,224254.0,224254.0,333807.0,333807.0,333807.0,333807.0,333807.0,333807.0,463662.0,463662.0,463662.0,463662.0,463662.0,463662.0,463662.0,463662.0,463662.0,463662.0,463662.0,463662.0,463662.0,724574.0,1100228.0,1100228.0,1100228.0,1100228.0,1100228.0,1100228.0,1384633.0,1384633.0,1384633.0
Iran,186000.0,186000.0,211136.0,211136.0,211136.0,211136.0,211136.0,211136.0,231393.0,231393.0,242568.0,242568.0,251703.0,299204.0,310340.0,319879.0,330137.0,341662.0,353012.0,365723.0,377396.0,389507.0,399927.0,410075.0,421313.0,432329.0,442590.0,453386.0,463295.0,475023.0,484541.0,496273.0,519543.0,519543.0,531275.0,544702.0,558899.0,573220.0
UK,195524.0,252958.0,252958.0,266694.0,266694.0,266694.0,266694.0,266694.0,282074.0,298169.0,298169.0,316836.0,334974.0,398916.0,417649.0,438991.0,460437.0,482063.0,501379.0,535342.0,559935.0,583496.0,612031.0,640792.0,669850.0,719910.0,763387.0,818539.0,901905.0,1023824.0,1129907.0,1206405.0,1291591.0,1383842.0,1448010.0,1534533.0,1631561.0,1728443.0
Turkey,181445.0,202845.0,202845.0,228868.0,222868.0,222868.0,222868.0,222868.0,247768.0,276338.0,276338.0,307210.0,340380.0,477716.0,518143.0,558413.0,598933.0,634277.0,673980.0,713409.0,750944.0,791906.0,830257.0,868565.0,898742.0,918885.0,948115.0,991613.0,1033617.0,1075048.0,1111366.0,1135367.0,1171138.0,1204421.0,1234724.0,1265119.0,1298806.0,1334411.0
Switzerland,162500.0,162500.0,167429.0,167429.0,167429.0,167429.0,167429.0,167429.0,178500.0,178500.0,178500.0,178500.0,190000.0,199000.0,206400.0,206400.0,216400.0,221263.0,224442.0,227554.0,227554.0,235252.0,235252.0,245300.0,245300.0,245300.0,256500.0,260500.0,266200.0,276000.0,276000.0,280220.0,282750.0,286403.0,290365.0,290365.0,301675.0,306223.0
